r_cm,r_mm,T_hev_z0.2mm,flux_raw_z0.2mm,flux_norm_z0.2mm,T_hev_z0.5mm,flux_raw_z0.5mm,flux_norm_z0.5mm,T_hev_z0.8mm,flux_raw_z0.8mm,flux_norm_z0.8mm,T_hev_z1.0mm,flux_raw_z1.0mm,flux_norm_z1.0mm
0.04537074148296594,0.4537074148296594,1.4821695274847453,4.9653468157099324e+20,0.9511196005439883,1.3020753839269508,2.9573490163587967e+20,0.8468348808325002,0.9325168969101709,7.780095119717373e+19,0.4669862955602645,0.0,0.0,0.0
0.045531062124248504,0.45531062124248506,1.4820191915409944,4.9633325885324794e+20,0.9507337723189864,1.3016075018882767,2.9531005838373336e+20,0.8456183450674833,0.9303185959663293,7.70699142367734e+19,0.4625983769448506,0.0,0.0,0.0
0.045691382765531065,0.45691382765531063,1.481868036098546,4.9613079994648225e+20,0.9503459592584358,1.3011366538856923,2.948829842601709e+20,0.8443954212173287,0.9280910835757769,7.63344302854252e+19,0.45818376606157646,0.0,0.0,0.0
0.04585170340681363,0.4585170340681363,1.4817160572788128,4.959273006530556e+20,0.9499561533216933,1.3006628199586772,2.9445366961461445e+20,0.8431660816476723,0.9258336956938302,7.559446519294204e+19,0.45374225793005163,0.0,0.0,0.0
0.0460120240480962,0.460120240480962,1.4815632511719097,4.957227567449137e+20,0.9495643464098575,1.300185979929035,2.9402210472160113e+20,0.8419302985097171,0.9235457440663292,7.484998413901373e+19,0.4492736435475913,0.0,0.0,0.0
0.04617234468937876,0.4617234468937876,1.4814096138363728,4.9551716396335766e+20,0.9491705303653275,1.2997061133979646,2.9358827978013413e+20,0.8406880437383757,0.9212265150125323,7.41009516096517e+19,0.4447777097478306,0.0,0.0,0.0
0.04633266533066133,0.46332665330661327,1.4812551412988761,4.953105180188079e+20,0.9487746969713491,1.2992231997430752,2.9315218491302167e+20,0.8394392890503762,0.9188752681293351,7.3347331372393546e+19,0.44025423905189365,0.0,0.0,0.0
0.046492985971943894,0.46492985971943895,1.4810998295539448,4.951028145905689e+20,0.9483768379515657,1.2987372181153543,2.9271381016621262e+20,0.8381840059423612,0.9164912349105859,7.258908645018832e+19,0.43570300951164526,0.0,0.0,0.0
0.046653306613226454,0.46653306613226453,1.4809436745636657,4.9489404932659066e+20,0.9479769449695605,1.2982481474360814,2.9227314550812207e+20,0.8369221656889553,0.9140736172746683,7.1826179093870895e+19,0.43112379454447286,0.0,0.0,0.0
0.04681362725450902,0.4681362725450902,1.4807866722573928,4.946842178432256e+20,0.947575009628391,1.2977559663936864,2.918301808289473e+20,0.835653739340807,0.9116215859928527,7.105857075312261e+19,0.42651636275898297,0.0,0.0,0.0
0.04697394789579159,0.4697394789579159,1.4806288185314513,4.9447331572498616e+20,0.9471710234701248,1.2972606534405573,2.9138490593998012e+20,0.8343786977226199,0.909134279010228,7.0286222045817274e+19,0.4218804777710064,0.0,0.0,0.0
0.047134268537074156,0.47134268537074153,1.4804701092488373,4.942613385242984e+20,0.9467649779753676,1.2967621867897872,2.909373105729059e+20,0.8330970114311447,0.9066107996501659,6.950909272562789e+19,0.4172158980091629,0.0,0.0,0.0
0.047294589178356716,0.47294589178356716,1.4803105402389138,4.940482817612535e+20,0.9463568645627873,1.296260544411867,2.904873843790973e+20,0.8318086508331572,0.9040502146924113,6.872714164777195e+19,0.412522376509254,0.0,0.0,0.0
0.047454909819639284,0.47454909819639285,1.480150107297103,4.93834140923355e+20,0.9459466745886292,1.2957557040313201,2.9003511692889883e+20,0.8305135860634103,0.9014515523138614,6.794032673275451e+19,0.4077996606966367,0.0,0.0,0.0
0.04761523046092185,0.47615230460921854,1.479988806184577,4.936189114652677e+20,0.9455343993462362,1.2952476431232742,2.895804977109018e+20,0.8292117870225562,0.8988137998799728,6.714860492795729e+19,0.4030474921556694,0.0,0.0,0.0
