rho,u_tilda
6.7502492,0.001496479
7.1345577,0.001414447
7.5956484,0.00132699
7.9441999,0.001267621
8.3473198,0.001205145
8.8213182,0.001138992
9.3899591,0.001068448
9.8204537,0.001020477
10.318389,0.000969987
10.903919,0.000916516
11.606401,0.000859487
12.139002,0.000820649
12.755167,0.000779766
13.479885,0.000736465
14.349555,0.000690277
15.009929,0.000658781
15.774182,0.000625623
16.673424,0.000590502
17.752979,0.000553038
18.574173,0.000527457
19.525046,0.000500525
20.644532,0.000471997
21.989386,0.000441567
23.014553,0.00042076
24.202511,0.000398854
25.602326,0.00037565
27.285589,0.0003509
28.572557,0.000333945
30.065559,0.000316094
31.827072,0.000297186
33.948392,0.00027702
35.575945,0.000263179
37.467013,0.000248607
39.70217,0.000233174
42.399426,0.000216716
44.487706,0.000205345
46.92102,0.000193372
49.806659,0.00018069
53.302537,0.000167165
56.012285,0.000157843
59.179459,0.00014803
62.948431,0.000137638
67.532496,0.000126563
71.390005,0.000118345
75.973559,0.000109665
81.539143,0.000100438
88.479351,9.06E-05
94.142124,8.36E-05
100.97438,7.62E-05
109.4194,6.83E-05
120.17197,5.99E-05
127.05866,5.53E-05
135.12244,5.05E-05
144.69894,4.55E-05
156.25583,4.02E-05
166.05602,3.63E-05
177.51342,3.23E-05
191.02507,2.82E-05
207.08131,2.41E-05
221.50988,2.08E-05
238.0085,1.76E-05
256.7049,1.45E-05
277.48889,1.15E-05
296.88058,9.07E-06
316.66815,6.91E-06
335.79235,5.06E-06
353.0657,3.57E-06
363.5021,2.73E-06
372.36464,2.06E-06
379.62774,1.53E-06
385.39222,1.13E-06
389.44379,8.49E-07
392.60869,6.36E-07
395.04662,4.75E-07
396.90402,3.53E-07
398.26656,2.64E-07
399.29862,1.98E-07
400.07706,1.48E-07
400.66265,1.10E-07
401.09745,8.23E-08
401.42346,6.15E-08
401.6677,4.60E-08
401.85072,3.43E-08
401.98709,2.57E-08
402.08901,1.92E-08
402.16522,1.43E-08
402.22225,1.07E-08
402.26478,8.02E-09
402.29654,6.00E-09
402.32027,4.49E-09
402.33803,3.36E-09
402.35126,2.52E-09
402.36115,1.89E-09
402.36853,1.42E-09
402.37406,1.07E-09
402.37817,8.05E-10
402.38124,6.08E-10
402.38354,4.60E-10
402.38526,3.49E-10
402.38653,2.66E-10
402.38748,2.04E-10
402.3882,1.57E-10
402.38873,1.21E-10
402.38912,9.41E-11
402.38941,7.36E-11
402.38963,5.78E-11
402.38979,4.55E-11
402.38991,3.64E-11
402.39,2.90E-11
402.39006,2.31E-11
402.39011,1.83E-11
402.39014,1.47E-11
402.39016,1.17E-11
402.39018,9.02E-12
402.39019,6.69E-12
402.3902,5.10E-12
402.3902,3.63E-12
402.39021,2.26E-12
402.39021,9.74E-13
402.39021,7.26E-13
402.39021,4.81E-13
402.39021,2.39E-13
402.39021,0
